Gene WormBase ID	of CLASH identified piRNA target sites
WBGene00001484	3
WBGene00001485	7
WBGene00001486	1
WBGene00001487	2
WBGene00001488	73
WBGene00001489	3
WBGene00001490	1
WBGene00001491	18
WBGene00001492	6
WBGene00001493	9
WBGene00001494	1
WBGene00001495	0
WBGene00001496	9
WBGene00001497	4
WBGene00001498	14
WBGene00001499	11
WBGene00001500	1
WBGene00001501	0
WBGene00001502	6
WBGene00001503	17
WBGene00001505	1
WBGene00001506	0
WBGene00001507	0
WBGene00001508	0
WBGene00001509	11
WBGene00001510	12
WBGene00001511	31
WBGene00001512	0
WBGene00001513	28
WBGene00001514	14
WBGene00001515	0
WBGene00001516	5
WBGene00001517	0
WBGene00001518	1
WBGene00001519	0
WBGene00001520	3
WBGene00001522	15
WBGene00001523	5
WBGene00001526	9
WBGene00001527	12
WBGene00001528	0
WBGene00001529	0
WBGene00001530	0
WBGene00001531	0
WBGene00001532	1
WBGene00001533	0
WBGene00001534	0
WBGene00001535	0
WBGene00001536	0
WBGene00001537	0
WBGene00001538	2
WBGene00001539	0
WBGene00001540	0
WBGene00001541	0
WBGene00001542	0
WBGene00001543	0
WBGene00001544	0
WBGene00001545	0
WBGene00001546	0
WBGene00001547	0
WBGene00001548	0
WBGene00001549	0
WBGene00001550	0
WBGene00001551	0
WBGene00001552	0
WBGene00001553	0
WBGene00001554	0
WBGene00001555	1
WBGene00001556	0
WBGene00001557	0
WBGene00001558	17
WBGene00001559	0
WBGene00001560	1
WBGene00001561	19
WBGene00001562	6
WBGene00001563	24
WBGene00001564	18
WBGene00001565	9
WBGene00001566	8
WBGene00001568	15
WBGene00001569	17
WBGene00001570	0
WBGene00001571	26
WBGene00001572	0
WBGene00001574	17
WBGene00001575	0
WBGene00001577	0
WBGene00001578	0
WBGene00001579	8
WBGene00001580	27
WBGene00001581	18
WBGene00001582	16
WBGene00001583	17
WBGene00001584	13
WBGene00001585	9
WBGene00001586	0
WBGene00001587	0
WBGene00001588	0
WBGene00001589	6
WBGene00001590	1
WBGene00001591	0
WBGene00001592	0
WBGene00001593	0
